# {
#     "poni_version": 2.1,
#     "detector": "Dexela2923",
#     "detector_config": {
#         "pixel1": 7.5e-05,
#         "pixel2": 7.5e-05,
#         "orientation": 3
#     },
#     "dist": 0.7729163652097074,
#     "poni1": 0.15023228379054998,
#     "poni2": 0.13162955346626973,
#     "rot1": -0.03463361979894058,
#     "rot2": -0.0014763885094713292,
#     "rot3": -7.645244767931508e-10,
#     "wavelength": 1.82e-11
# }
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> integrated_CeO2.dat
#       2th_deg             I 
  6.079096e+00    1.271609e+01
  6.094381e+00    1.279956e+01
  6.109666e+00    1.285469e+01
  6.124952e+00    1.290273e+01
  6.140237e+00    1.299365e+01
  6.155522e+00    1.310495e+01
  6.170807e+00    1.320916e+01
  6.186092e+00    1.335788e+01
  6.201377e+00    1.351454e+01
  6.216662e+00    1.373538e+01
  6.231947e+00    1.407473e+01
  6.247232e+00    1.446711e+01
  6.262517e+00    1.498827e+01
  6.277802e+00    1.575143e+01
  6.293087e+00    1.695534e+01
  6.308372e+00    1.893450e+01
  6.323657e+00    2.276173e+01
  6.338942e+00    3.158626e+01
  6.354227e+00    5.840104e+01
  6.369512e+00    1.454754e+02
  6.384797e+00    2.871655e+02
  6.400082e+00    3.311364e+02
  6.415367e+00    2.201919e+02
  6.430653e+00    9.253990e+01
  6.445938e+00    4.073680e+01
  6.461223e+00    2.571009e+01
  6.476508e+00    2.013822e+01
  6.491793e+00    1.753948e+01
  6.507078e+00    1.612703e+01
  6.522363e+00    1.528597e+01
  6.537648e+00    1.476369e+01
  6.552933e+00    1.446098e+01
  6.568218e+00    1.430664e+01
  6.583503e+00    1.435489e+01
  6.598788e+00    1.469497e+01
  6.614073e+00    1.554024e+01
  6.629358e+00    1.795095e+01
  6.644643e+00    2.603345e+01
  6.659928e+00    4.771571e+01
  6.675213e+00    7.048713e+01
  6.690498e+00    6.689015e+01
  6.705783e+00    4.157607e+01
  6.721069e+00    2.284846e+01
  6.736354e+00    1.646243e+01
  6.751639e+00    1.432968e+01
  6.766924e+00    1.346617e+01
  6.782209e+00    1.302716e+01
  6.797494e+00    1.276296e+01
  6.812779e+00    1.255725e+01
  6.828064e+00    1.246128e+01
  6.843349e+00    1.231497e+01
  6.858634e+00    1.222380e+01
  6.873919e+00    1.214831e+01
  6.889204e+00    1.209073e+01
  6.904489e+00    1.203903e+01
  6.919774e+00    1.199578e+01
  6.935059e+00    1.197144e+01
  6.950344e+00    1.190783e+01
  6.965629e+00    1.188702e+01
  6.980914e+00    1.189338e+01
  6.996199e+00    1.187138e+01
  7.011484e+00    1.183741e+01
  7.026770e+00    1.181921e+01
  7.042055e+00    1.177914e+01
